billing_period_start,billing_period_end,line_item_usage_start_date,line_item_usage_end_date,line_item_product_code,line_item_usage_type,line_item_operation,line_item_usage_amount,line_item_unblended_cost,pricing_unit,product_region,resource_id,usage_account_id,payer_account_id,service,region,usage_hours,cost,data_source,scenario,technical_debt_event,anomaly_score,waste_driver,recommended_action,pmo_summary_line
2026-03-01,2026-03-31,2026-03-02T06:00:00+00:00,2026-03-02T07:00:00+00:00,AmazonRedshift,NodeUsage:ra3.xlplus,CreateCluster,46.13,113.01,Hrs,us-gov-east-1,redshift-00010,0000000000,synthetic-payer,AmazonRedshift,us-gov-east-1,46.13,113.01,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-02T09:00:00+00:00,2026-03-02T10:00:00+00:00,AmazonS3,TimedStorage-ByteHrs,StandardStorage,48.58,1.99,GB-Mo,us-gov-west-1,s3-00011,0000000001,synthetic-payer,AmazonS3,us-gov-west-1,48.58,1.99,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-02T12:00:00+00:00,2026-03-02T13:00:00+00:00,AWSGlue,Glue-ETL-DPU-Hour,StartJobRun,52.77,23.64,DPU-Hr,us-gov-east-1,glue-00012,0000000002,synthetic-payer,AWSGlue,us-gov-east-1,52.77,23.64,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-02T15:00:00+00:00,2026-03-02T16:00:00+00:00,AWSLambda,Lambda-GB-Second,Invoke,49.86,0.0,GB-Second,us-gov-east-1,lambda-00013,0000000003,synthetic-payer,AWSLambda,us-gov-west-1,49.86,0.0,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-02T18:00:00+00:00,2026-03-02T19:00:00+00:00,AmazonS3,TimedStorage-ByteHrs,StandardStorage,59.35,2.62,GB-Mo,us-gov-east-1,s3-00014,0000000004,synthetic-payer,AmazonS3,us-gov-east-1,59.35,2.62,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-02T21:00:00+00:00,2026-03-02T22:00:00+00:00,AmazonEC2,BoxUsage:m6i.2xlarge,RunInstances,15.98,9.39,Hrs,us-gov-east-1,ec2-00015,0000000005,synthetic-payer,AmazonEC2,us-gov-west-1,15.98,9.39,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-03T00:00:00+00:00,2026-03-03T01:00:00+00:00,AWSLambda,Lambda-GB-Second,Invoke,36.45,0.0,GB-Second,us-gov-east-1,lambda-00016,0000000006,synthetic-payer,AWSLambda,us-gov-west-1,36.45,0.0,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-03T03:00:00+00:00,2026-03-03T04:00:00+00:00,AmazonEMR,EMR-InstanceUsage,RunJobFlow,10.91,266.53,Hrs,us-gov-east-1,emr-00017,0000000007,synthetic-payer,AmazonEMR,us-gov-east-1,10.91,266.53,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-03T06:00:00+00:00,2026-03-03T07:00:00+00:00,AmazonEMR,EMR-InstanceUsage,RunJobFlow,84.28,2405.54,Hrs,us-gov-west-1,emr-00018,0000000008,synthetic-payer,AmazonEMR,us-gov-east-1,84.28,2405.54,synthetic,cluster_left_running,missed_shutdown_hook,high,missed shutdown automation,Bedrock flow scheduled cluster teardown check,EMR waste due to automation gap caused 84 excess compute hours
2026-03-01,2026-03-31,2026-03-03T09:00:00+00:00,2026-03-03T10:00:00+00:00,AmazonS3,TimedStorage-ByteHrs,StandardStorage,45.55,1.99,GB-Mo,us-gov-east-1,s3-00019,0000000009,synthetic-payer,AmazonS3,us-gov-west-1,45.55,1.99,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-03T12:00:00+00:00,2026-03-03T13:00:00+00:00,AmazonRedshift,NodeUsage:ra3.xlplus,CreateCluster,28.09,134.43,Hrs,us-gov-east-1,redshift-00020,0000000000,synthetic-payer,AmazonRedshift,us-gov-west-1,28.09,134.43,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-03T15:00:00+00:00,2026-03-03T16:00:00+00:00,AWSLambda,Lambda-GB-Second,Invoke,52.17,0.0,GB-Second,us-gov-east-1,lambda-00021,0000000001,synthetic-payer,AWSLambda,us-gov-east-1,52.17,0.0,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-03T18:00:00+00:00,2026-03-03T19:00:00+00:00,AmazonEC2,BoxUsage:m6i.2xlarge,RunInstances,21.84,6.15,Hrs,us-gov-west-1,ec2-00022,0000000002,synthetic-payer,AmazonEC2,us-gov-east-1,21.84,6.15,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-03T21:00:00+00:00,2026-03-03T22:00:00+00:00,AWSGlue,Glue-ETL-DPU-Hour,StartJobRun,55.1,36.07,DPU-Hr,us-gov-west-1,glue-00023,0000000003,synthetic-payer,AWSGlue,us-gov-east-1,55.1,36.07,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-04T00:00:00+00:00,2026-03-04T01:00:00+00:00,AmazonBedrock,InputTokens,InvokeModel,46.37,0.56,1K-Tokens,us-gov-west-1,bedrock-00024,0000000004,synthetic-payer,AmazonBedrock,us-gov-east-1,46.37,0.56,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-04T03:00:00+00:00,2026-03-04T04:00:00+00:00,AmazonBedrock,InputTokens,InvokeModel,12.47,0.22,1K-Tokens,us-gov-west-1,bedrock-00025,0000000005,synthetic-payer,AmazonBedrock,us-gov-east-1,12.47,0.22,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-04T06:00:00+00:00,2026-03-04T07:00:00+00:00,AmazonRedshift,NodeUsage:ra3.xlplus,CreateCluster,2.38,10.8,Hrs,us-gov-east-1,redshift-00026,0000000006,synthetic-payer,AmazonRedshift,us-gov-west-1,2.38,10.8,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-04T09:00:00+00:00,2026-03-04T10:00:00+00:00,AmazonEC2,BoxUsage:m6i.2xlarge,RunInstances,178.32,240.14,Hrs,us-gov-west-1,ec2-00027,0000000007,synthetic-payer,AmazonEC2,us-gov-west-1,178.32,240.14,synthetic,orphan_ebs_leakage,orphaned_storage_cleanup_gap,medium,orphaned block storage,Bedrock flow orphaned resource sweep,Detached storage continued accruing cost after instance retirement
2026-03-01,2026-03-31,2026-03-04T12:00:00+00:00,2026-03-04T13:00:00+00:00,AmazonBedrock,InputTokens,InvokeModel,38.82,0.19,1K-Tokens,us-gov-east-1,bedrock-00028,0000000008,synthetic-payer,AmazonBedrock,us-gov-west-1,38.82,0.19,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-04T15:00:00+00:00,2026-03-04T16:00:00+00:00,AmazonEMR,EMR-InstanceUsage,RunJobFlow,38.46,865.05,Hrs,us-gov-west-1,emr-00029,0000000009,synthetic-payer,AmazonEMR,us-gov-west-1,38.46,865.05,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-04T18:00:00+00:00,2026-03-04T19:00:00+00:00,AWSLambda,Lambda-GB-Second,Invoke,23.13,0.0,GB-Second,us-gov-east-1,lambda-00030,0000000000,synthetic-payer,AWSLambda,us-gov-east-1,23.13,0.0,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-04T21:00:00+00:00,2026-03-04T22:00:00+00:00,AWSGlue,Glue-ETL-DPU-Hour,StartJobRun,33.06,16.49,DPU-Hr,us-gov-west-1,glue-00031,0000000001,synthetic-payer,AWSGlue,us-gov-east-1,33.06,16.49,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-05T00:00:00+00:00,2026-03-05T01:00:00+00:00,AmazonEC2,BoxUsage:m6i.2xlarge,RunInstances,42.77,13.25,Hrs,us-gov-west-1,ec2-00032,0000000002,synthetic-payer,AmazonEC2,us-gov-west-1,42.77,13.25,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-05T03:00:00+00:00,2026-03-05T04:00:00+00:00,AmazonEC2,BoxUsage:m6i.2xlarge,RunInstances,51.26,12.45,Hrs,us-gov-west-1,ec2-00033,0000000003,synthetic-payer,AmazonEC2,us-gov-west-1,51.26,12.45,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-05T06:00:00+00:00,2026-03-05T07:00:00+00:00,AmazonBedrock,InputTokens,InvokeModel,24.46,0.26,1K-Tokens,us-gov-east-1,bedrock-00034,0000000004,synthetic-payer,AmazonBedrock,us-gov-east-1,24.46,0.26,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-05T09:00:00+00:00,2026-03-05T10:00:00+00:00,AmazonS3,TimedStorage-ByteHrs,StandardStorage,39.29,1.64,GB-Mo,us-gov-east-1,s3-00035,0000000005,synthetic-payer,AmazonS3,us-gov-west-1,39.29,1.64,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-05T12:00:00+00:00,2026-03-05T13:00:00+00:00,AmazonEC2,BoxUsage:m6i.2xlarge,RunInstances,171.73,445.68,Hrs,us-gov-west-1,ec2-00036,0000000006,synthetic-payer,AmazonEC2,us-gov-west-1,171.73,445.68,synthetic,orphan_ebs_leakage,orphaned_storage_cleanup_gap,medium,orphaned block storage,Bedrock flow orphaned resource sweep,Detached storage continued accruing cost after instance retirement
2026-03-01,2026-03-31,2026-03-05T15:00:00+00:00,2026-03-05T16:00:00+00:00,AmazonRedshift,NodeUsage:ra3.xlplus,CreateCluster,62.33,81.06,Hrs,us-gov-west-1,redshift-00037,0000000007,synthetic-payer,AmazonRedshift,us-gov-west-1,62.33,81.06,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-05T18:00:00+00:00,2026-03-05T19:00:00+00:00,AmazonRedshift,NodeUsage:ra3.xlplus,CreateCluster,52.7,214.08,Hrs,us-gov-west-1,redshift-00038,0000000008,synthetic-payer,AmazonRedshift,us-gov-west-1,52.7,214.08,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-05T21:00:00+00:00,2026-03-05T22:00:00+00:00,AmazonS3,TimedStorage-ByteHrs,StandardStorage,14.5,0.49,GB-Mo,us-gov-east-1,s3-00039,0000000009,synthetic-payer,AmazonS3,us-gov-west-1,14.5,0.49,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-06T00:00:00+00:00,2026-03-06T01:00:00+00:00,AmazonEMR,EMR-InstanceUsage,RunJobFlow,33.85,888.32,Hrs,us-gov-west-1,emr-00040,0000000000,synthetic-payer,AmazonEMR,us-gov-east-1,33.85,888.32,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-06T03:00:00+00:00,2026-03-06T04:00:00+00:00,AmazonBedrock,InputTokens,InvokeModel,62.16,0.7,1K-Tokens,us-gov-west-1,bedrock-00041,0000000001,synthetic-payer,AmazonBedrock,us-gov-west-1,62.16,0.7,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-06T06:00:00+00:00,2026-03-06T07:00:00+00:00,AmazonEC2,BoxUsage:m6i.2xlarge,RunInstances,66.77,36.79,Hrs,us-gov-west-1,ec2-00042,0000000002,synthetic-payer,AmazonEC2,us-gov-east-1,66.77,36.79,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-06T09:00:00+00:00,2026-03-06T10:00:00+00:00,AmazonRedshift,NodeUsage:ra3.xlplus,CreateCluster,35.18,151.25,Hrs,us-gov-west-1,redshift-00043,0000000003,synthetic-payer,AmazonRedshift,us-gov-west-1,35.18,151.25,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-06T12:00:00+00:00,2026-03-06T13:00:00+00:00,AmazonRedshift,NodeUsage:ra3.xlplus,CreateCluster,1.15,2.93,Hrs,us-gov-east-1,redshift-00044,0000000004,synthetic-payer,AmazonRedshift,us-gov-east-1,1.15,2.93,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-06T15:00:00+00:00,2026-03-06T16:00:00+00:00,AmazonEMR,EMR-InstanceUsage,RunJobFlow,62.24,2556.19,Hrs,us-gov-east-1,emr-00045,0000000005,synthetic-payer,AmazonEMR,us-gov-west-1,62.24,2556.19,synthetic,cluster_left_running,missed_shutdown_hook,high,missed shutdown automation,Bedrock flow scheduled cluster teardown check,EMR waste due to automation gap caused 62 excess compute hours
2026-03-01,2026-03-31,2026-03-06T18:00:00+00:00,2026-03-06T19:00:00+00:00,AWSGlue,Glue-ETL-DPU-Hour,StartJobRun,53.24,20.58,DPU-Hr,us-gov-east-1,glue-00046,0000000006,synthetic-payer,AWSGlue,us-gov-west-1,53.24,20.58,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-06T21:00:00+00:00,2026-03-06T22:00:00+00:00,AmazonEC2,BoxUsage:m6i.2xlarge,RunInstances,42.48,17.68,Hrs,us-gov-west-1,ec2-00047,0000000007,synthetic-payer,AmazonEC2,us-gov-west-1,42.48,17.68,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-07T00:00:00+00:00,2026-03-07T01:00:00+00:00,AWSGlue,Glue-ETL-DPU-Hour,StartJobRun,6.69,3.09,DPU-Hr,us-gov-west-1,glue-00048,0000000008,synthetic-payer,AWSGlue,us-gov-west-1,6.69,3.09,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-07T03:00:00+00:00,2026-03-07T04:00:00+00:00,AmazonRedshift,NodeUsage:ra3.xlplus,CreateCluster,9.51,41.79,Hrs,us-gov-west-1,redshift-00049,0000000009,synthetic-payer,AmazonRedshift,us-gov-west-1,9.51,41.79,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-07T06:00:00+00:00,2026-03-07T07:00:00+00:00,AWSGlue,Glue-ETL-DPU-Hour,StartJobRun,6.82,5.08,DPU-Hr,us-gov-east-1,glue-00050,0000000000,synthetic-payer,AWSGlue,us-gov-east-1,6.82,5.08,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-07T09:00:00+00:00,2026-03-07T10:00:00+00:00,AmazonS3,TimedStorage-ByteHrs,StandardStorage,48.55,1.43,GB-Mo,us-gov-east-1,s3-00051,0000000001,synthetic-payer,AmazonS3,us-gov-east-1,48.55,1.43,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-07T12:00:00+00:00,2026-03-07T13:00:00+00:00,AmazonS3,TimedStorage-ByteHrs,StandardStorage,48.69,1.41,GB-Mo,us-gov-east-1,s3-00052,0000000002,synthetic-payer,AmazonS3,us-gov-west-1,48.69,1.41,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-07T15:00:00+00:00,2026-03-07T16:00:00+00:00,AmazonEC2,BoxUsage:m6i.2xlarge,RunInstances,33.54,20.44,Hrs,us-gov-west-1,ec2-00053,0000000003,synthetic-payer,AmazonEC2,us-gov-west-1,33.54,20.44,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-07T18:00:00+00:00,2026-03-07T19:00:00+00:00,AmazonEMR,EMR-InstanceUsage,RunJobFlow,65.74,1420.85,Hrs,us-gov-east-1,emr-00054,0000000004,synthetic-payer,AmazonEMR,us-gov-west-1,65.74,1420.85,synthetic,cluster_left_running,missed_shutdown_hook,high,missed shutdown automation,Bedrock flow scheduled cluster teardown check,EMR waste due to automation gap caused 66 excess compute hours
2026-03-01,2026-03-31,2026-03-07T21:00:00+00:00,2026-03-07T22:00:00+00:00,AmazonBedrock,InputTokens,InvokeModel,39.57,0.3,1K-Tokens,us-gov-west-1,bedrock-00055,0000000005,synthetic-payer,AmazonBedrock,us-gov-east-1,39.57,0.3,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-08T00:00:00+00:00,2026-03-08T01:00:00+00:00,AWSLambda,Lambda-GB-Second,Invoke,8.35,0.0,GB-Second,us-gov-east-1,lambda-00056,0000000006,synthetic-payer,AWSLambda,us-gov-west-1,8.35,0.0,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-08T03:00:00+00:00,2026-03-08T04:00:00+00:00,AmazonEC2,BoxUsage:m6i.2xlarge,RunInstances,53.71,15.07,Hrs,us-gov-east-1,ec2-00057,0000000007,synthetic-payer,AmazonEC2,us-gov-west-1,53.71,15.07,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-08T06:00:00+00:00,2026-03-08T07:00:00+00:00,AWSLambda,Lambda-GB-Second,Invoke,25.34,0.0,GB-Second,us-gov-east-1,lambda-00058,0000000008,synthetic-payer,AWSLambda,us-gov-east-1,25.34,0.0,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-08T09:00:00+00:00,2026-03-08T10:00:00+00:00,AmazonEMR,EMR-InstanceUsage,RunJobFlow,65.28,1687.19,Hrs,us-gov-west-1,emr-00059,0000000009,synthetic-payer,AmazonEMR,us-gov-east-1,65.28,1687.19,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-08T12:00:00+00:00,2026-03-08T13:00:00+00:00,AmazonBedrock,InputTokens,InvokeModel,20.64,0.06,1K-Tokens,us-gov-west-1,bedrock-00060,0000000000,synthetic-payer,AmazonBedrock,us-gov-east-1,20.64,0.06,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-08T15:00:00+00:00,2026-03-08T16:00:00+00:00,AmazonS3,TimedStorage-ByteHrs,StandardStorage,53.63,1.96,GB-Mo,us-gov-east-1,s3-00061,0000000001,synthetic-payer,AmazonS3,us-gov-west-1,53.63,1.96,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-08T18:00:00+00:00,2026-03-08T19:00:00+00:00,AmazonEC2,BoxUsage:m6i.2xlarge,RunInstances,6.34,3.58,Hrs,us-gov-west-1,ec2-00062,0000000002,synthetic-payer,AmazonEC2,us-gov-west-1,6.34,3.58,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-08T21:00:00+00:00,2026-03-08T22:00:00+00:00,AmazonEMR,EMR-InstanceUsage,RunJobFlow,62.8,2458.57,Hrs,us-gov-east-1,emr-00063,0000000003,synthetic-payer,AmazonEMR,us-gov-west-1,62.8,2458.57,synthetic,cluster_left_running,missed_shutdown_hook,high,missed shutdown automation,Bedrock flow scheduled cluster teardown check,EMR waste due to automation gap caused 63 excess compute hours
2026-03-01,2026-03-31,2026-03-09T00:00:00+00:00,2026-03-09T01:00:00+00:00,AmazonBedrock,InputTokens,InvokeModel,70.03,0.25,1K-Tokens,us-gov-east-1,bedrock-00064,0000000004,synthetic-payer,AmazonBedrock,us-gov-west-1,70.03,0.25,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-09T03:00:00+00:00,2026-03-09T04:00:00+00:00,AWSLambda,Lambda-GB-Second,Invoke,18.72,0.0,GB-Second,us-gov-east-1,lambda-00065,0000000005,synthetic-payer,AWSLambda,us-gov-west-1,18.72,0.0,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
2026-03-01,2026-03-31,2026-03-09T06:00:00+00:00,2026-03-09T07:00:00+00:00,AmazonS3,TimedStorage-ByteHrs,StandardStorage,62.39,3.07,GB-Mo,us-gov-west-1,s3-00066,0000000006,synthetic-payer,AmazonS3,us-gov-east-1,62.39,3.07,synthetic,baseline_operations,none,low,none,Continue monitoring synthetic cost baselines,Baseline synthetic operations remained within expected spend bounds
